Company ID,DSRI,GMI,AQI,SGI,DEPI,SGAI,ACCR,LEVI,Manipulator,M-SCORE,C-MANIPULATOR
70,0.887797675,0.990712374,1.11840697,1.037764372,0.741573715,1.036787017,-0.053784268,1.057349411,No,-2.813064007,0
78,1.154334616,1.011109687,1.170120648,0.986775178,1.056413056,1.02065635,-0.110873,1.038567663,No,-2.803665822,0
101,0.909921167,0.842043874,1.41413438,0.802615736,0.924466028,1.48390437,-0.021519581,0.859973403,No,-2.801849216,0
65,1.514964559,0.99730043,-0.30754099,1.021016396,1.016974623,1.140478222,-0.035634355,1.276760543,No,-2.796601931,0
51,1.312791202,0.973454834,0.516755182,1.051324985,1.06136394,1.036694436,-0.084482571,1.106377669,No,-2.785030999,0
203,0.580643844,1.565297685,1.018732735,1.283357695,0.790317417,0.962361743,-0.089765283,1.088288913,No,-2.773529348,0
98,1.243013288,0.954792598,1.584274229,0.89030973,0.97567696,1.00571864,-0.1340371,0.974990035,No,-2.764856304,0
210,0.681443346,1.021076951,0.939578192,0.840923069,1.293533819,1.108955633,0.026886497,0.913298784,No,-2.759081287,0
54,1.040148479,1.110310313,0.875015935,1.251293981,1.105324395,1.103619455,-0.113771738,1.020213655,No,-2.755816953,0
153,1.069406005,1.101864509,-0.356968885,1.309292112,1.103070967,0.906392222,-0.021155294,1.116889925,No,-2.743943807,0
46,1.241264778,0.901785321,-0.370115853,0.98914293,1.022923956,1.13734827,0.021675978,0.841400712,No,-2.740808845,0
66,1.020455282,0.901727247,1.028285597,0.941808008,0.976300815,1.188318961,-0.033537729,0.96394005,No,-2.733796728,0
183,1.000941844,1,0.598230148,1.913091784,0.836736778,0.85637257,-0.119477459,2.068996097,No,-2.729638759,0
199,1.066422665,0.835753102,1.484164773,1.158379682,0.82845898,1.208451718,-0.101622251,1.075857222,No,-2.724613003,0
214,0.978006201,0.95020789,0.897195309,1.063398566,0.87377068,1.125808457,-0.063596399,0.506631052,No,-2.683897435,0
173,1.171873745,0.99649851,1.024707144,0.898344671,1.032278568,1.058101445,-0.044032469,1.189473018,No,-2.678686821,0
94,1.145235911,0.959060492,1.051617636,1.041762564,0.882012138,1.018838588,-0.071149356,1.04508267,No,-2.674352001,0
117,1.280160482,0.961701659,1.106019092,1.022019311,1.25197057,1.252205915,-0.114118772,0.834130647,No,-2.6741262,0
73,0.930917799,0.980619809,1.262980568,1.193305414,0.932897597,0.973680799,-0.086035186,0.962980914,No,-2.668759055,0
162,1.381998303,0.613016857,0.8757479,0.99651965,1.075613422,1.42701976,-0.044458798,1.022948868,No,-2.666469832,0
56,0.849625396,0.957959657,1.738096307,1.086156201,1.119729936,0.728243721,-0.098721479,0.98003563,No,-2.660378126,0
166,1.693351883,0.926505324,1.0283565,0.416542636,0.505190098,1.549472226,0.000582573,1.326811928,No,-2.645463402,0
61,0.729194951,1.270015852,1.148607283,1.125478011,1.087615622,0.929440867,-0.056842655,0.93309337,No,-2.636484894,0
130,0.806321928,1.035336579,1.285398872,1.133782217,1.043137534,0.748394283,-0.048505601,1.15578254,No,-2.634552829,0
200,0.943464205,1.183018167,1.003850119,0.890959957,1.751107353,1.800188764,-0.016484063,0.903851321,No,-2.628031044,0
55,1.128868975,1.066568696,1.255903202,0.863207214,1.084628545,1.233973072,-0.021044103,1.457744853,No,-2.623585554,0
187,0.982399407,0.437721898,1.272203489,1.079164682,1.083421888,1.063879577,-0.006794956,0.909210657,No,-2.615989532,0
99,0.887277777,1.030113568,1.054893215,1.063937228,1.211282445,1.058318313,-0.025830575,0.996227639,No,-2.593956582,0
184,1.198941112,0.949258275,1.086173326,1.260070119,1.003267053,0.609512784,-0.124475805,1.065658026,No,-2.593322192,0
161,1.14839687,1.096734389,1.188846185,1.080556543,0.962043204,0.960992898,-0.127016363,0.533501222,No,-2.583669099,0
201,1.008028554,0.884649498,1.258924765,1.054234421,1.090971422,0.937396157,-0.044445426,0.988921925,No,-2.56364413,0
67,1.037615223,1.162410749,0.979373235,1.075185624,1.017404698,1.046974483,-0.059523569,0.920322569,No,-2.559443086,0
